あきの	あきのたの かりほのいほの とまをあらみ	わがころもでは つゆにぬれつつ	「あきか」の裏札//「あ」で始まる札は16枚
あい (あひ)	あひみての のちのこころに くらぶれば	むかしはものを おもはざりけり	「あ」で始まる札は16枚で、その中で2字決まりなのは「あし」「あけ」「あひ」
おおこ (あふこ)	あふことの たえてしなくば なかなかに	ひとをもみをも うらみざらまし	「お」で始まる札は7枚//「おお」で始まる札は他に「おほえ」「おほけ」//「おおこみみ」と憶える
あわれ (あはれ)	あはれとも いふべきひとは おもほえで	みのいたづらに なりぬべきかな	「あはぢ」の裏札//「あ」で始まる札は16枚
ゆら	ゆらのとを わたるふなびと かぢをたえ	ゆくへもしらぬ こひのみちかな	「ゆふ」の裏札
やえ (やへ)	やへむぐら しげれるやどの さびしきに	ひとこそみえね あきはきにけり	
かぜを	かぜをいたみ いはうつなみの おのれのみ	くだけてものを おもふころかな	「かぜそ」の裏札
みかき	みかきもり ゑじのたくひの よるはもえ	ひるはきえつつ ものをこそおもへ	「みかの」の裏札
きみがためを	きみがため をしからざりし いのちさへ	ながくもがなと おもひけるかな	「きみがためは」の裏札
かく	かくとだに えやはいぶきの さしもぐさ	さしもしらじな もゆるおもひを	「かくさし」と憶える。将棋の角指し
あけ	あけぬれば くるるものとは しりながら	なほうらめしき あさぼらけかな	「あ」で始まる札は16枚で、その中で2字決まりなのは「あし」「あけ」「あひ」
なげき	なげきつつ ひとりぬるよの あくるまは	いかにひさしき ものとかはしる	「な」で始まる札は8枚//「なげけ」の裏札//「なげきいか」と憶える。嘆いているイカ
わすれ	わすれじの ゆくすゑまでは かたければ	けふをかぎりの いのちともがな	「わすら」の裏札//「わ」で始まる札は7枚//「わすれとり」と憶える。鳥は忘れっぽい
たき	たきのおとは たえてひさしく なりぬれど	なこそながれて なほきこえけれ	「た」で始まる札は6枚で全部2字決まり
あらざ	あらざらむ このよのほかの おもひでに	いまひとたびの あふこともがな	「あらし」の裏札//「あ」で始まる札は16枚//「あらざたこ」と憶える。あらざタコ
め	めぐりあひて みしやそれとも わかぬまに	くもがくれにし よはのつきかな	
ありま	ありまやま ゐなのささはら かぜふけば	いでそよひとを わすれやはする	「ありあ」の裏札//「あ」で始まる札は16枚
やす	やすらはで ねなましものを さよふけて	かたぶくまでの つきをみしかな	「やすかったふく」と憶える。安かった服
おおえ (おほえ)	おほえやま いくののみちの とほければ	まだふみもみず あまのはしだて	「お」で始まる札は7枚//「おお」で始まる札は他に「あふこ」「おほけ」
いに	いにしへの ならのみやこの やへざくら	けふここのへに にほひぬるかな	
よを	よをこめて とりのそらねは はかるとも	よにあふさかの せきはゆるさじ	
いまは [wa]	いまはただ おもひたえなむ とばかりを	ひとづてならで いふよしもがな	「いまこ」の裏札
あさぼらけう	あさぼらけ うぢのかはぎり たえだえに	あらはれわたる せぜのあじろぎ	「あさぼらけあ」の裏札//「あ」で始まる札は16枚
うら	うらみわび ほさぬそでだに あるものを	こひにくちなむ なこそをしけれ	「うか」の裏札
もろ	もろともに あはれとおもへ やまざくら	はなよりほかに しるひともなし	「もも」の裏札
はるの	はるのよの ゆめばかりなる たまくらに	かひなくたたむ なこそをしけれ	「はるす」の裏札
こころに	こころにも あらでうきよに ながらへば	こひしかるべき よはのつきかな	「こころあ」の裏札//「こ」で始まる札は6枚
あらし	あらしふく みむろのやまの もみぢばは	たつたのかはの にしきなりけり	「あらざ」の裏札//「あ」で始まる札は16枚
さ	さびしさに やどをたちいでて ながむれば	いづくもおなじ あきのゆふぐれ	
ゆう (ゆふ)	ゆふされば かどたのいなば おとづれて	あしのまろやに あきかぜぞふく	「ゆら」の裏札
おと	おとにきく たかしのはまの あだなみは	かけじやそでの ぬれもこそすれ	「お」で始まる札は7枚
たか	たかさごの をのへのさくら さきにけり	とやまのかすみ たたずもあらなむ	「た」で始まる札は6枚で全部2字決まり
うか	うかりける ひとをはつせの やまおろしよ	はげしかれとは いのらぬものを	「うら」の裏札//「うっかりはげ」と憶える
ちぎりお	ちぎりおきし させもがつゆを いのちにて	あはれことしの あきもいぬめり	「ちぎりき」の裏札//「ちぎりおいぬ」と憶える。千切り尾犬
わたのはらこ	わたのはら こぎいでてみれば ひさかたの	くもゐにまがふ おきつしらなみ	「わたのはらや」の裏札//「わ」で始まる札は7枚
せ	せをはやみ いはにせかるる たきがはの	われてもすゑに あはむとぞおもふ	
あわじ (あはぢ)	あはぢしま かよふちどりの なくこゑに	いくよねざめぬ すまのせきもり	「あはれ」の裏札//「あ」で始まる札は16枚
あきか	あきかぜに たなびくくもの たえまより	もれいづるつきの かげのさやけさ	「あきの」の裏札//「あ」で始まる札は16枚
ながか	ながからむ こころもしらず くろかみの	みだれてけさは ものをこそおもへ	「ながら」の裏札//「な」で始まる札は8枚
ほ	ほととぎす なきつるかたを ながむれば	ただありあけの つきぞのこれる	
おも	おもひわび さてもいのちは あるものを	うきにたへぬは なみだなりけり	「お」で始まる札は7枚
よのなかよ	よのなかよ みちこそなけれ おもひいる	やまのおくにも しかぞなくなる	「よのなかは」の裏札
ながら	ながらへば またこのごろや しのばれむ	うしとみしよぞ いまはこひしき	「ながか」の裏札//「な」で始まる札は8枚
よも	よもすがら ものおもふころは あけやらで	ねやのひまさへ つれなかりけり	
なげけ	なげけとて つきやはものを おもはする	かこちがほなる わがなみだかな	「なげき」の裏札//「な」で始まる札は8枚
む	むらさめの つゆもまだひぬ まきのはに	きりたちのぼる あきのゆふぐれ	
なにわえ (なにはえ)	なにはえの あしのかりねの ひとよゆゑ	みをつくしてや こひわたるべき	「なにはが」の裏札//「な」で始まる札は8枚//「なに」で始まる札は他に「なにし」がある//「なにわえのたこやき」と憶える
たま	たまのをよ たえなばたえね ながらへば	しのぶることの よわりもぞする	「た」で始まる札は6枚で全部2字決まり//「のの」が猫の目に見える→猫といえばタマ
みせ	みせばやな をじまのあまの そでだにも	ぬれにぞぬれし いろはかはらず	
きり	きりぎりす なくやしもよの さむしろに	ころもかたしき ひとりかもねむ	「きりころし」と憶える。切り殺し
わがそ	わがそでは しほひにみえぬ おきのいしの	ひとこそしらね かわくまもなし	「わがい」の裏札//「わ」で始まる札は7枚
よのなかは [wa]	よのなかは つねにもがもな なぎさこぐ	あまのをぶねの つなでかなしも	「よのなかはかね」と憶える。世の中は金
みよ	みよしのの やまのあきかぜ さよふけて	ふるさとさむく ころもうつなり	「みよちゃんのふるさと」と憶える
おおけ (おほけ)	おほけなく うきよのたみに おほふかな	わがたつそまに すみぞめのそで	「お」で始まる札は7枚//「おお」で始まる札は他に「あふこ」「おほえ」//「おっけーわかった」と憶える。OK、分かった
はなさ	はなさそふ あらしのにはの ゆきならで	ふりゆくものは わがみなりけり	「はなの」の裏札
こぬ	こぬひとを まつほのうらの ゆふなぎに	やくやもしほの みもこがれつつ	「こ」で始まる札は6枚
かぜそ	かぜそよぐ ならのをがはの ゆふぐれは	みそぎぞなつの しるしなりける	「かぜそみそ」と憶える。かぜそ味噌
ひとも	ひともをし ひともうらめし あぢきなく	よをおもふゆゑに ものおもふみは	「ひとは」の裏札
もも	ももしきや ふるきのきばの しのぶにも	なほあまりある むかしなりけり	「もろ」の裏札//「ももしり」と憶える
